GM12878    |   K562
PR AG NA HS CT HM PR AG NA HS CT HM
0 0 1 1 1 1 0 0 1 0 1 1
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 1 1 1 0 0 1 1 1 1 
0 0 1 1 0 1 0 0 1 0 0 0
0 0 1 1 0 1 0 0 1 0 0 0
1 1 0 1 0 1 1 1 0 1 0 1
0 0 1 0 0 1 0 0 1 0 0 1
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 1 1 0 0 0 1 1 1 1
0 0 1 0 1 0 0 0 1 0 1 1
0 0 1 0 0 0 0 0 1 1 0 1
0 0 1 0 0 0 0 0 1 0 0 1
1 1 0 1 0 1 1 1 0 0 0 1
0 1 0 1 0 0 0 1 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 1 0 0 0 1 1 1 0
1 1 0 0 0 0 1 1 0 0 0 0
0 1 0 0 0 0 0 1 0 0 0 0
0 1 0 0 1 0 0 1 0 1 1 1
0 1 0 0 0 0 0 1 0 1 0 1
0 1 0 1 0 0 0 1 0 1 0 1
1 1 0 0 0 0 1 1 0 1 0 1
0 1 0 0 1 0 0 1 0 1 0 0
1 1 0 1 0 1 1 1 0 1 0 1
0 0 1 0 0 0 0 0 1 1 1 1
1 0 1 0 0 0 0 0 1 1 1 0
0 0 1 1 0 1 1 1 0 1 0 1
0 0 1 1 1 1 1 1 0 0 1 1
1 1 0 1 0 0 1 1 0 0 1 1
0 1 0 0 0 0 0 1 0 0 0 0
0 1 0 0 0 0 0 1 0 0 0 0
1 1 0 0 0 0 1 1 0 0 0 0
1 1 0 0 0 1 1 1 0 0 0 1
1 1 0 1 1 1 1 1 0 1 0 1
0 0 1 0 0 0 0 0 1 0 1 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0
1 0 1 0 0 1 1 0 1 1 0 1
0 1 0 0 0 0 0 1 0 0 0 0
0 1 0 0 0 0 1 1 0 0 1 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 1 0 0 0 1 0 1 0
0 0 1 0 0 1 0 0 1 1 0 0
0 0 1 1 0 1 0 0 1 0 1 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0
0 0 1 0 0 0 2 2 2 2 2 2
0 0 1 0 0 0 2 2 2 2 2 2
0 0 1 1 0 0 2 2 2 2 2 2
0 0 1 1 1 0 2 2 2 2 2 2
0 0 1 0 0 0 2 2 2 2 2 2
1 1 0 1 0 1 2 2 2 2 2 2
0 1 0 1 0 1 2 2 2 2 2 2
1 1 0 1 1 0 2 2 2 2 2 2
1 1 0 0 0 1 2 2 2 2 2 2
0 0 1 1 1 0 2 2 2 2 2 2
0 0 1 0 0 0 2 2 2 2 2 2
1 1 0 1 0 1 2 2 2 2 2 2
0 1 0 0 0 1 2 2 2 2 2 2
0 1 0 1 0 0 2 2 2 2 2 2 
0 1 0 1 0 0 2 2 2 2 2 2 
0 1 0 0 0 0 2 2 2 2 2 2 
0 1 0 0 0 0 2 2 2 2 2 2 
0 1 0 0 0 0 2 2 2 2 2 2
1 1 0 1 1 0 2 2 2 2 2 2
0 1 0 0 0 0 2 2 2 2 2 2
1 1 0 0 0 0 2 2 2 2 2 2
0 1 0 0 0 0 2 2 2 2 2 2
