	5C_305_ENm008_REV_1|hg18|chr16:1-5693	5C_305_ENm008_REV_6|hg18|chr16:11138-15091	5C_305_ENm008_REV_10|hg18|chr16:29779-44231	5C_305_ENm008_REV_11|hg18|chr16:44231-50868	5C_305_ENm008_REV_12|hg18|chr16:50868-52846	5C_305_ENm008_REV_13|hg18|chr16:52846-55911	5C_305_ENm008_REV_15|hg18|chr16:56690-64056	5C_305_ENm008_REV_17|hg18|chr16:65723-74448	5C_305_ENm008_REV_21|hg18|chr16:87749-90248	5C_305_ENm008_REV_26|hg18|chr16:104687-109838	5C_305_ENm008_REV_28|hg18|chr16:120933-131220	5C_305_ENm008_REV_31+32|hg18|chr16:147782-167103	5C_305_ENm008_REV_33|hg18|chr16:167103-171769	5C_305_ENm008_REV_34|hg18|chr16:171769-185994	5C_305_ENm008_REV_37|hg18|chr16:192185-203353	5C_305_ENm008_REV_38|hg18|chr16:203353-217802	5C_305_ENm008_REV_39|hg18|chr16:217802-225341	5C_305_ENm008_REV_43|hg18|chr16:239095-247214	5C_305_ENm008_REV_45|hg18|chr16:260279-277942	5C_305_ENm008_REV_59|hg18|chr16:353009-360924	5C_305_ENm008_REV_60|hg18|chr16:360924-372670	5C_305_ENm008_REV_62|hg18|chr16:376971-380160	5C_305_ENm008_REV_65|hg18|chr16:402437-418222	5C_305_ENm008_REV_72|hg18|chr16:454365-483412	5C_305_ENm008_REV_74|hg18|chr16:483472-496513
5C_305_ENm008_FOR_7|hg18|chr16:15091-18344	80	13686	26	231	16	62	33	69	84	35	40	36	47	139	68	69	0	34	12	8	1	1	0	11	0
5C_305_ENm008_FOR_8|hg18|chr16:18344-29756	91	5281	59	466	15	64	91	82	92	40	39	48	28	178	143	52	41	103	12	14	5	22	0	15	10
5C_305_ENm008_FOR_14|hg18|chr16:55911-56690	11	30	11	204	135	43	1179	42	45	24	12	19	10	117	77	11	9	23	0	0	0	0	0	0	0
5C_305_ENm008_FOR_16|hg18|chr16:64056-65723	0	33	0	167	22	64	5708	440	35	17	72	10	53	137	112	24	0	26	18	6	4	29	0	7	0
5C_305_ENm008_FOR_19|hg18|chr16:86128-86217	10	43	0	154	0	80	311	706	853	126	25	29	26	227	143	28	18	32	18	10	0	12	0	9	0
5C_305_ENm008_FOR_20|hg18|chr16:86217-87749	37	15	0	106	0	49	153	186	2641	134	68	7	21	254	103	10	0	62	19	8	22	0	7	20	0
5C_305_ENm008_FOR_22|hg18|chr16:90248-91497	1	30	0	67	1	32	158	105	8721	186	72	32	16	109	91	18	9	8	8	1	7	4	0	4	3
5C_305_ENm008_FOR_23|hg18|chr16:91497-95256	15	77	0	265	14	28	234	231	3095	655	367	143	187	582	71	94	0	66	7	23	8	6	0	0	9
5C_305_ENm008_FOR_24|hg18|chr16:95256-100530	72	67	0	345	57	103	227	203	927	3492	924	617	246	1508	528	180	42	146	42	6	23	51	0	34	31
5C_305_ENm008_FOR_25|hg18|chr16:100530-104687	25	39	0	144	16	45	110	168	359	6516	637	375	128	388	217	59	63	69	7	7	11	32	0	3	49
